,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10,Book 11,Book 12
line1,"ARms, and the Man I sing, who, forc'd by Fate,",ALL were attentive to the God-like Man;,"WHen Heav'n had overturn'd the Trojan State,",BUT anxious Cares already seiz'd the Queen:,"MEan time the Trojan cuts his wat'ry way,","HE said, and wept: Then spread his Sails before","AND thou, O Matron of Immortal Fame!",WHen Turnus had assembled all his Pow'rs;,"WHile these Affairs in distant Places pass'd,",THE Gates of Heav'n unfold; Jove summons all,SCarce had the rosie Morning rais'd her Head,WHen Turnus saw the Latins leave the Field;
line2,And haughty Juno's unrelenting Hate;,When from the lofty Couch he thus began.,"And Priam's Throne, by too severe a Fate:",She fed within her Veins a Flame unseen:,"Fix'd on his Voyage, thro the curling Sea:","The Winds, and reach'd at length the Cuman Shore:","Here Dying, to the Shore hast left thy Name:",His Standard planted on Laurentum's Tow'rs;,"The various Iris Juno sends with haste,","The Gods to Council, in the Common Hall.","Above the Waves, and left her wat'ry Bed;","Their Armies broken, and their Courage quell'd;"
line3,"Expell'd and exil'd, left the Trojan Shoar:","Great Queen, what you command me to relate,","When ruin'd Troy became the Grecians Prey,","The Heroe's Valour, Acts, and Birth inspire","Then, casting back his Eyes, with dire Amaze,","Their Anchors drop'd, his Crew the Vessels moor.","Cajeta still the place is call'd from thee,","When now the sprightly Trumpet, from afar,","To find bold Turnus, who, with anxious Thought,","Sublimely seated, he surveys from far","The Pious Chief, whom double Cares attend","Himself become the Mark of publick Spight,"
line4,"Long Labours, both by Sea and Land he bore;",Renews the sad remembrance of our Fate.,And Ilium's lofty Tow'rs in Ashes lay:,"Her Soul with Love, and fann the secret Fire.",Sees on the Punic Shore the mounting Blaze.,They turn their Heads to Sea; their Sterns to Land;,The Nurse of great Aeneas Infancy.,"Had giv'n the Signal of approaching War,",The secret Shade of his great Grandsire sought.,"The Fields, the Camp, the Fortune of the War;","For his unbury'd Souldiers, and his Friend:",His Honour question'd for the promis'd Fight:
line5,"And in the doubtful War, before he won","An Empire from its old Foundations rent,","Warn'd by Coelestial Omens, we retreat,","His Words, his Looks imprinted in her Heart,","The Cause unknown; yet his presaging Mind,",And greet with greedy Joy th' Italian Strand.,"Here rest thy Bones in rich Hesperia's Plains,","Had rouz'd the neighing Steeds to scour the Fields,",Retir'd alone she found the daring Man;,And all th' inferior World: From first to last,Yet first to Heav'n perform'd a Victor's Vows;,The more he was with Vulgar hate oppress'd;
line6,"The Latian Realm, and built the destin'd Town:",And ev'ry Woe the Trojans underwent:,To seek in foreign Lands a happier Seat.,"Improve the Passion, and increase the Smart.",The Fate of Dido from the Fire divin'd:,Some strike from clashing Flints their fiery Seed;,Thy Name ('tis all a Ghost can have) remains.,"While the fierce Riders clatter'd on their Shields,","And op'd her rosie Lips, and thus began.",The Sov'raign Senate in Degrees are plac'd.,He bar'd an ancient Oak of all her Boughs:,The more his Fury boil'd within his Breast:
line7,"His banish'd Gods restor'd to Rites Divine,",A Peopl'd City made a Desart Place;,"Near old Antandros, and at Ida's foot,","Now, when the Purple Morn had chas'd away",He knew the stormy Souls of Woman-kind:,"Some gather Sticks, the kindled Flames to feed:","Now, when the Prince her Fun'ral Rites had paid,","Trembling with Rage, the Latian Youth prepare",What none of all the Gods cou'd grant thy Vows;,"Then thus th' Almighty Sire began. Ye Gods,",Then on a rising Ground the Trunk he plac'd;,He rowz'd his Vigour for the last Debate;
line8,And setl'd sure Succession in his Line:,"All that I saw, and part of which I was:",The Timber of the sacred Groves we cut:,"The dewy Shadows, and restor'd the Day;","What secret Springs their eager Passions move,","Or search for hollow Trees, and fell the Woods,",He plough'd the Tyrrhene Seas with Sails display'd.,"To join th' Allies, and headlong rush to War.","That, Turnus, this auspicious Day bestows.","Natives, or Denizons, of blest Abodes;",Which with the Spoils of his dead Foe he grac'd.,"And rais'd his haughty Soul, to meet his Fate."
line9,"From whence the Race of Alban Fathers come,","Not ev'n the hardest of our Foes cou'd hear,",And build our Fleet; uncertain yet to find,"Her Sister first, with early Care she sought,",How capable of Death for injur'd Love.,Or trace thro Valleys the discover'd Floods.,"From Land a gentle Breeze arose by Night,","Fierce Ufens, and Messapus, led the Crowd;","Aeneas, gone to seek th' Arcadian Prince,","From whence these Murmurs, and this change of Mind,","The Coat of Arms by proud Mezentius worn,","As when the Swains the Lybian Lion chase,"
line10,And the long Glories of Majestick Rome.,Nor stern Ulysses tell without a Tear.,What place the Gods for our Repose assign'd.,And thus in mournful Accents eas'd her Thought.,Dire Auguries from hence the Trojans draw;,"Thus, while their sev'ral Charges they fulfil,","Serenely shone the Stars, the Moon was bright,","With bold Mezentius, who blasphem'd aloud.",Has left the Trojan Camp without defence;,This backward Fate from what was first design'd?,"Now on a naked Snag in Triumph born,","He makes a sour Retreat, nor mends his Pace;"
line11,"O Muse! the Causes and the Crimes relate,","And now the latter Watch of wasting Night,",Friends daily flock; and scarce the kindly Spring,"My dearest Anna, what new Dreams affright","'Till neither Fires, nor shining Shores they saw.",The Pious Prince ascends the sacred Hill,And the Sea trembled with her Silver Light.,"These, thro the Country took their wastful Course;","And, short of Succours there; employs his Pains",Why this protracted War? When my Commands,Was hung on high; and glitter'd from afar:,"But if the pointed Jav'lin pierce his Side,"
line12,"What Goddess was provok'd, and whence her hate:",And setting Stars to kindly Rest invite.,"Began to cloath the Ground, and Birds to sing;",My lab'ring Soul; what Visions of the Night,"Now Seas and Skies, their Prospect only bound;","Where Phoebus is ador'd; and seeks the Shade,","Now near the Shelves of Circe's Shores they run,","The Fields to forage, and to gather Force.",In Parts remote to raise the Tuscan Swains:,"Pronounc'd a Peace, and gave the Latian Lands.",A Trophy sacred to the God of War.,The lordly Beast returns with double Pride:
line13,For what Offence the Queen of Heav'n began,"But since you take such Int'rest in our Woe,",When old Anchises summon'd all to Sea:,"Disturb my Quiet, and distract my Breast,","An empty space above, a floating Field around.","Which hides from sight, his venerable Maid.","(Circe the rich, the Daughter of the Sun)","Then Venulus to Diomede they send,","Now snatch an Hour that favours thy Designs,",What Fear or Hope on either part divides,"Above his Arms, fix'd on the leafless Wood,","He wrenches out the Steel, he roars for Pain;"
line14,"To persecute so brave, so just a Man!",And Troy's disast'rous end desire to know:,"The Crew, my Father and the Fates obey.",With strange Ideas of our Trojan Guest?,But soon the Heav'ns with shadows were o'respread;,Deep in a Cave the Sibyl makes abode;,A dang'rous Coast: The Goddess wasts her Days,To beg his Aid Ausonia to defend:,"Unite thy Forces, and attack their Lines.","Our Heav'ns, and arms our Pow'rs on diff'rent sides?","Appear'd his Plumy Crest, distilling Blood;","His sides he lashes, and erects his Mane."
line15,"Involv'd his anxious Life in endless Cares,","I will restrain my Tears, and briefly tell","With Sighs and Tears I leave my native Shore,","His Worth, his Actions, and Majestick Air,",A swelling Cloud hung hov'ring o're their Head:,"Thence full of Fate returns, and of the God.","In joyous Songs, the Rocks resound her Lays:",Declare the common Danger; and inform,"This said, on equal Wings she pois'd her Weight,","A lawful Time of War at length will come,",His brazen Buckler on the left was seen;,"So Turnus fares; his Eye-balls flash with Fire,"
line16,"Expos'd to Wants, and hurry'd into Wars!",What in our last and fatal Night befel.,"And empty Fields, where Ilium stood before.",A Man descended from the Gods declare:,"Livid it look'd, (the threatning of a Storm;)","Thro Trivia's Grove they walk; and now behold,","In spinning, or the Loom, she spends the Night,",The Grecian Leader of the growing Storm:,And form'd a radiant Rainbow in her flight.,"(Nor need your haste anticipate the Doom,)",Trunchions of shiver'd Lances hung between:,And his wide Nostrils Clouds of Smoke expire.
line17,Can Heav'nly Minds such high resentment show;,"By Destiny compell'd, and in Despair,","My Sire, my Son, our less, and greater Gods,","Fear never harbours in a Noble Mind,",Then Night and Horror Ocean's Face deform.,"And enter now, the Temple roof'd with Gold.",And Cedar Brands supply her Father's Light.,"Aeneas landed on the Latian Coast,",The Daunian Heroe lifts his Hands and Eyes;,When Carthage shall contest the World with Rome:,"And on the right was plac'd his Corslet, bor'd;","Trembling with Rage, around the Court he ran;"
line18,Or exercise their Spight in Human Woe?,The Greeks grew weary of the tedious War:,All sail at once; and tempt the briny Floods.,"But Modesty, with just Assurance join'd.","The Pilot, Palinurus, cry'd aloud,","When Dedalus, to shun the Cretan Shore,","From hence were heard, (rebellowing to the Main,)","With banish'd Gods, and with a baffled Hoast;",And thus invokes the Goddess as she flies.,"Shall force the rigid Rocks, and Alpine Chains;",And to the Neck was ty'd his unavailing Sword.,"At length approach'd the King, and thus began."
line19,"Against the Tiber's Mouth, but far away,","And by Minerva's Aid a Fabrick rear'd,","Against our Coast appears a spacious Land,","Then, what he suffer'd, when by Fate betray'd,",What Gusts of Weather from that gath'ring Cloud,"His heavy Limbs on jointed Pinions bore,","The Roars of Lyons that refuse the Chain,",Yet now aspir'd to Conquest of the State;,"Iris, the Grace of Heav'n, what Pow'r Divine",And like a Flood come pouring on the Plains.,A Crowd of Chiefs inclose the Godlike Man:,No more excuses or Delays: I stand
line20,An ancient Town was seated on the Sea:,Which like a Steed of monstrous height appear'd;,Which once the fierce Lycurgus did command:,What brave Attempts for falling Troy he made!,"My Thoughts presage; e're yet the Tempest roars,","(The first who sail'd in Air,) 'tis sung by Fame,","The Grunts of Bristled Boars, and Groans of Bears,",And claim'd a Title from the Gods and Fate.,"Has sent thee down, thro' dusky Clouds to shine?","Then is your time for Faction and Debate,","Who thus, conspicuous in the midst, began.","In Arms prepar'd to Combat, hand to hand,"
line21,A Tyrian Colony; the People made,"The Sides were planck'd with Pine, they feign'd it made",Thracia the Name; the People bold in War;,"Such were his Looks, so gracefully he spoke,","Stand to your Tackle, Mates, and stretch your Oars;",To the Cumaean Coast at length he came;,And Herds of Howling Wolves that stun the Sailors Ears.,"What num'rous Nations in his Quarrel came,",See they divide; immortal Day appears;,"For partial Favour, and permitted Hate.","Our Toils, my Friends, are crown'd with sure Success:",This base Deserter of his Native Land.
line22,"Stout for the War, and studious of their Trade.","For their Return, and this the Vow they paid.","Vast are their Fields, and Tillage is their Care.",That were I not resolv'd against the Yoke,"Contract your swelling Sails, and luff to Wind:","And, here alighting, built this costly Frame.","These from their Caverns, at the close of Night,",And how they spread his formidable Name:,And glitt'ring Planets dancing in their Spheres!,Let now your immature Dissention cease;,"The greater Part perform'd, atchieve the less.","The Trojan, by his Word, is bound to take"
line23,"Carthage the Name, belov'd by Juno more","Thus they pretend, but in the hollow Side,",A hospitable Realm while Fate was kind;,Of hapless Marriage; never to be curs'd,The frighted Crew perform the Task assign'd.,"Inscrib'd to Phoebus, here he hung on high",Fill the sad Isle with Horror and Affright.,"What he design'd, what Mischiefs might arise,","With Joy, these happy Omens I obey;","Sit quiet, and compose your Souls to Peace.",Now follow chearful to the trembling Town;,The same Conditions which himself did make.
line24,"Than her own Argos, or the Samian Shoar.",Selected Numbers of their Souldiers hide:,With Troy in friendship and Religion join'd.,"With second Love, so fatal was my first;","Then, to his fearless Chief, not Heav'n, said he,","The steerage of his Wings, that cut the Sky:","Darkling they mourn their Fate, whom Circe's Pow'r","If Fortune favour'd his first Enterprise,","And follow to the War, the God that leads the Way.",Thus Jupiter in few unfolds the Charge:,"Press but an Entrance, and presume it won.","Renew the Truce, the solemn Rites prepare;"
line25,"Here stood her Chariot, here, if Heav'n were kind,","With inward Arms the dire Machine they load,","I land; with luckless Omens, then adore",To this one Error I might yield again:,"Tho Jove himself shou'd promise Italy,",Then o're the lofty Gate his Art emboss'd,"(That watch'd the Moon, and Planetary Hour)","Was left for him to weigh: whose equal Fears,","Thus having said, as by the Brook he stood,",But lovely Venus thus replies at large.,"Fear is no more: For fierce Mezentius lies,",And to my single Virtue trust the War.
line26,The Seat of awful Empire she design'd.,With Iron Bowels stuff the dark Abode.,"Their Gods, and draw a Line along the Shore:","For since Sichaeus was untimely slain,",Can stem the Torrent of this raging Sea.,"Androgeos Death, and Off'rings to his Ghost.","With Words and wicked Herbs, from Human Kind",And common Interest was involv'd in theirs.,He scoop'd the Water from the Crystal Flood;,"O Pow'r immense, Eternal Energy!","As the first Fruits of War, a Sacrifice.",The Latians unconcern'd shall see the Fight;
line27,"Yet she had heard an ancient Rumour fly,","In sight of Troy lies Tenedos, an Isle,",I lay the deep Foundations of a Wall;,"This onely Man, is able to subvert","Mark how the shifting Winds from West arise,","Sev'n Youths from Athens yearly sent, to meet","Had alter'd, and in Brutal Shapes confin'd.","While Turnus and th' Allies thus urge the War,","Then with his Hands the drops to Heav'n he throws,","(For to what else Protection can we fly,)",Turnus shall fall extended on the Plain;,This Arm unaided shall assert your Right:
line28,(Long cited by the People of the Sky;),(While Fortune did on Priam's Empire smile),"And Enos, nam'd from me, the City call.",The fix'd Foundations of my stubborn Heart.,And what collected Night involves the Skies!,The Fate appointed by revengeful Creet.,"Which Monsters, lest the Trojans pious Host","The Trojan floating in a Flood of Care,",And loads the Pow'rs above with offer'd Vows.,"Seest thou the proud Rutulians, how they dare",And in this Omen is already slain.,"Then, if my prostrate Body press the Plain,"
